0,1,2,3,4,5,6,7,8,ID
cuero,terroso,alquitrán,tabaco,roble,vainilla,cereza,fresa,frambuesa,1154338
mora,arándano,casis,tabaco,roble,cedro,cuero,terroso,grafito,1822321
casis,mora,casis,chocolate,tabaco,vainilla,cuero,minerales,,1986568
tabaco,chocolate,roble,terroso,hongo,minerales,frambuesa,frutos rojos,,2339228
cereza,frambuesa,fresa,terroso,carne de caza,,ciruela,cereza negra, ,1406409
cereza,frambuesa,terroso,suelo del bosque,cuero,,heno,,,2138666
roble,vainilla,tabaco,mora,ciruela,casis,cuero,humo,terroso,1637564
cereza negra,mora,casis,roble,mantequilla,cigarro,pimienta,canela,hierbas,5392461
terroso,minerales,hongo,cereza roja,frutos rojos,,roble,canela,tabaco,1150405
ciruela,mora,arándano,roble,vainilla,chocolate,pimienta,regaliz,rosa seca,13556
roble,tabaco,vainilla,ciruela,mora,casis,cuero,terroso,humo,85159
cereza,frambuesa,fruta seca,terroso,hongo,cuero,roble,vainilla,clavo de olor,66874
mora,ciruela,casis,roble,tabaco,chocolate,cereza,frutos rojos,tofi,1229120
mora,ciruela,frutos rojos,cereza,frutos rojos,tofi,cuero,terroso,humo,2221958
cereza,frambuesa,fresa,roble,vainilla,cedro,terroso,humo,hongo,1773506
casis,ciruela,mora,roble,café,chocolate,terroso,carne de caza,,20130
chocolate,tabaco,vainilla,ciruela,cereza negra, ,cereza,,,5839110
mora,casis,cereza negra,roble,tabaco,vainilla,pimienta,pimienta blanca,,1591308
cuero,terroso,humo,roble,tabaco,vainilla,cereza,frutos rojos,uva,1473682
pimienta,,,polvo de vainilla,,,polvo de vainilla,,,6823014
cereza,granada,cereza,chocolate para cocinar,,,terroso,minerales,humo,1911463
cereza,,,pimienta,,,roble,,,9338303
fresa,frambuesa,cereza,suelo del bosque,hierro,,roble,cedro,nuez moscada,1318331
cereza,frambuesa,fruta seca,terroso,minerales,humo,roble,vainilla,cedro,2387756
frambuesa,frutos rojos,,terroso,minerales,acelga,roble,chocolate,cedro,5332825
terroso,,,polvo de vainilla,,,polvo de vainilla,,,6402280
frutos rojos,cereza,tofi,fruta negra,frutos del bosque,,terroso,suelo del bosque,,1183783
roble,tabaco,vainilla,cereza,frambuesa,fruta seca,terroso,cuero,minerales,6170313
fruta negra,ciruela,mora,cedro,eneldo,roble,cuero,terroso,,1386963
roble,vainilla,tabaco,fruta negra,mora,casis,cereza,frambuesa,arándano,3611492
fresa,cereza,,aceite balsámico,cuero,,chocolate,tabaco,,1183006
cereza negra,ciruela, ,cereza,frambuesa,fruta seca,cuero,terroso,minerales,1671765
caucho,,,roble,,,polvo de vainilla,,,1510795
roble,vainilla,tabaco,ciruela,mora,cereza Bing,cuero,humo,terroso,1445721
cereza,grosella roja, ,casis,,,roble,,,2969493
roble,vainilla,cedro,cereza,fresa,salsa de fresa,mora,cereza negra,casis,1939301
roble,vainilla,tabaco,cereza,fresa,frutos rojos,mora,ciruela,fruta negra,1817570
fresa,cereza,frambuesa,cuero,minerales,hierro,frutos del bosque,mora,,3607970
mora,arándano,ciruela,vainilla,,,polvo de vainilla,,,3973511
frambuesa,fresa,cereza,hongo,terroso,sílex,mora,cereza negra,frambuesa,4156410
cereza,frutos rojos,tofi,pimienta,tomillo,,clavo de olor,tabaco,,7601210
casis,casis,ciruela,terroso,cuero,hongo,frambuesa,cereza,terroso,1858021
roble,vainilla,chocolate,ciruela,arándano,mora,terroso,cuero,humo,1167755
cereza,fresa,cereza roja,terroso,cuero,especias,eneldo,vainilla,roble,1245734
roble,vainilla,tabaco,ciruela,fruta negra,rosa seca,humo,cuero,terroso,1217408
terroso,cuero,cacao,mora,fruta negra,mermelada,frambuesa,fresa,cereza,5306821
cereza,fresa,frambuesa,cuero,terroso,hierro,roble,tabaco,cedro,1550204
vainilla,roble,tabaco,casis,mora,ciruela,cuero,terroso,humo,2130465
ciruela,mora,frutos rojos,roble,vainilla,chocolate,cuero,humo,terroso,2639906
